[2025-09-05 16:45:47] INFO: OAuth callback received | Context: {"code_length":64,"state_received":false,"has_code":true,"has_state":false}
[2025-09-05 16:45:47] INFO: Iniciando petición de token a Yuju | Context: {"url":"https:\/\/api.tp.yuju.io\/auth-generate-token","client_id":"609093b789a85bb88b18c8f8fd519a31","has_secret_key":true,"has_code":true}
[2025-09-05 16:45:50] INFO: Respuesta recibida de Yuju | Context: {"http_code":200,"response_length":99,"has_curl_error":false}
[2025-09-05 16:45:50] INFO: Token obtenido exitosamente de Yuju
[2025-09-05 16:45:51] INFO: OAuth token obtenido exitosamente | Context: {"state":false}
[2025-09-05 17:21:16] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:16] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:16] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:16] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:16] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:16] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:16] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:16] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:16] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:16] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:16] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:16] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:16] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:16] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:16] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:17] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:17] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:17] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:17] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
